id,recipe_id,ingredient,quantity_imperial,unit_imperial,quantity_metric,unit_metric,notes
1157,274,Crude Salt Armoniac,0.5,ounce,15.55,g,
1158,274,boil in water,3.0,quarts,2838.0,ml,
1159,274,to the strain'd add Brandy,1.0,pint,473.0,ml,
1160,275,roots of Smalage,4.0,ounces,124.4,g,
1161,275,"roots of Fennel, Linseed",2.0,ounces,62.2,g,
1162,275,"Herbs Pellitory of the Wall, Mallows, Arsmart, Camomile flowers",2.0,handfuls,2.0,handfuls,
1163,275,boil in Water,3.0,quarts,2838.0,ml,
1164,275,"in the strain'd dissolve crude Salt Armoniac ( or if you cannot get it, Salt Prunel)",0.5,ounce,15.55,g,
1165,275,common Soap,2.0,ounces,62.2,g,
1166,276,Oak leaves green,10.0,handfuls,10.0,handfuls,
1167,277,Nitre,2.0,ounces,62.2,g,
1168,277,Salt Armoniac,1.0,ounce,31.1,g,
1169,277,Spirit of Wine with a great deal of Phlegm in it,1.0,quart,946.0,ml,
1170,278,"the roots of Marsh Mallow, white Lily",1.0,ounce,31.1,g,
1171,278,"Herbs Mallows, Mullein, Henbane, flowers of Elder, Camomile, Melilot",1.0,handful,1.0,handful,
1172,278,"Seeds of Flax, Fenugreek",6.0,drams,23.34,g,
1173,278,boil in Water,3.0,quarts,2838.0,ml,
1174,279,"Onion, Linseed",4.0,ounces,124.4,g,
1175,279,"Herbs Henbane, Toad flax, Tarrow, Mullein",2.0,handfuls,2.0,handfuls,
1176,279,boil in Water,3.0,quarts,2838.0,ml,
1177,279,in the strain'd dissolve Opium,2.0,drams,7.78,g,
1178,280,"Mullein, Tarrow, Plantain, Elder leaves",4.0,handfuls,4.0,handfuls,
1179,280,Pomgranate peel,1.0,ounce,31.1,g,
1180,280,Boil in Water and rough red Wine,3.0,pints,1419.0,ml,
1181,280,in the strain'd dissolve Alum,0.5,ounce,15.55,g,
1182,280,Sugar of Lead,2.0,drams,7.78,g,
1183,281,"green leaves (or in the Winter time, inner Bark) of Elder",4.0,handfuls,4.0,handfuls,
1184,281,boil in Water,3.0,pints,1419.0,ml,
1185,281,in the strain'd dissolve common Soap,1.0,ounce,31.1,g,
1186,282,round Birthwort roots,1.0,ounce,31.1,g,
1187,282,"common Wormwood dry'd, Lavender Cotton, Tansy, tops of Savine",1.0,handful,1.0,handful,
1188,282,Bears foot,0.5,handfuls,0.5,handfuls,
1189,282,"Coloquintida, Aloes",1.0,dram,3.89,g,
1190,282,make a Decoction in Water,3.0,pints,1419.0,ml,
1191,284,"Vine and Willow leaves, Lettuce",2.0,handfuls,2.0,handfuls,
1192,284,"whitewater Lily flowers, red Roses",1.0,handful,1.0,handful,
1193,284,white Poppy heads (with the seeds),2.0,ounces,62.2,g,
1194,284,boil in Water 1 gallon to,2.0,quarts,1892.0,ml,
1195,284,in the strain'd dissolve Opium,2.0,drams,7.78,g,
1196,285,"Ground Pine, Southernwood",4.0,handfuls,4.0,handfuls,
1197,285,boil in Water,3.0,quarts,2838.0,ml,
1198,285,"in the strain'd dissolve (168, 169) Salt of Tarter, and Salt Armoniac",2.0,ounces,62.2,g,
1199,286,Winters Cinnamon,0.5,ounce,15.55,g,
1200,286,"Horse-Radish root, Earth Worms (added at last)",2.0,ounces,62.2,g,
1201,286,boil in Limewater,3.0,pints,1419.0,ml,
1202,286,to the strain'd add Spirit of Scurvy grass,2.0,ounces,62.2,g,
1203,286,Opium,1.0,dram,3.89,g,
1204,287,dry'd Tobacco leaves,1.0,ounce,31.1,g,
1205,287,infuse warm two hours in Water,2.0,quarts,1892.0,ml,
1206,287,in the strain'd dissolve Gum Ammoniac,0.5,ounce,15.55,g,
1207,289,"white Poppy heads (cut, and bruis'd with their Seeds) Dill seeds",2.0,ounces,62.2,g,
1208,289,"leaves of Henbane, Hounds tongue, common Night shade",2.0,handfuls,2.0,handfuls,
1209,289,boil in Water,3.0,quarts,2838.0,ml,
1210,290,Oak bark,2.0,ounces,62.2,g,
1211,290,Pomegranate peel,0.5,ounce,15.55,g,
1212,290,"Balaustines, red Roses dry'd",1.0,handful,1.0,handful,
1213,290,boil in Water,2.0,quarts,1892.0,ml,
1214,290,to these may also be added Alume,2.0,drams,7.78,g,
1215,291,roots of white Bryony,4.0,ounces,124.4,g,
1216,291,round Birthwort,2.0,ounces,62.2,g,
1217,291,"Zedory, Bayberries",1.0,ounce,31.1,g,
1218,291,"Herbs Feverfew, Mugwort, Savine tops, Camomile flowers",2.0,handfuls,2.0,handfuls,
1219,291,boil in Water 1 gallon to,5.0,pints,2365.0,ml,
1220,291,to the strain'd add Brandy,1.0,pint,473.0,ml,
1221,292,Unguent of Alabaster,1.0,dram,3.89,g,
1222,292,Oil of Mace by expression,1.0,scruple,1.3,g,
1223,292,Opium (dissolv'd in a little Rose water),0.5,scruple,0.65,g,
1224,293,Camphire,8.0,grains,0.52,g,
1225,293,Vinegar,1.0,ounce,31.1,g,
1226,293,red Rose Water,7.0,ounces,217.7,g,
1227,294,"powder'd Mastic, Frankincense",2.0,drams,7.78,g,
1228,294,"white Chalk, Bean Meal, each",0.5,ounce,15.55,g,
1229,294,"white of Egg well beaten, Oil of Roses",6.0,drams,23.34,g,
1230,295,"Breast Milk, white of Egg well beaten",1.0,ounce,31.1,g,
1231,295,Opium,10.0,grains,0.65,g,
1232,295,Camphire,5.0,grains,0.32,g,
1233,296,red Rose Water,4.0,ounces,124.4,g,
1234,296,Vinegar of Roses,2.0,ounces,62.2,g,
1235,296,Oil of Roses,1.0,ounce,31.1,g,
1236,297,"Olibanum, Amber, Benjamin, Storax calamite, Gum of Guaiacum, Balsam of Tolu",2.0,scruples,2.59,g,
1237,298,Benjamin,1.0,ounce,31.1,g,
1238,298,Storax calamite,0.5,ounce,15.55,g,
1239,298,Labdanum,2.0,drams,7.78,g,
1240,299,"Gum Guaiacum, Gum of Juniper, Mastic, Benjamin, Myrrh, Orpiment",1.0,dram,3.89,g,
1241,299,Cloves,2.0,drams,7.78,g,
1242,299,Balsam of Peru,16.0,drops,0.99,ml,
